Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,DNA Test ID,DNA Sample Timestamp,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean
113080,06/27/2016 09:45:00 AM,63rd Street,32.0,29.0,30.5,,5,06/27/2016 09:50:00 AM,,,,,
113092,06/27/2016 10:55:00 AM,Hartigan,1.0,2.0,1.4,,1,06/27/2016 10:56:00 AM,,,,,
113078,06/27/2016 09:15:00 AM,Rainbow,17.0,15.0,16.0,,5,06/27/2016 09:20:00 AM,,,,,
113090,06/27/2016 10:05:00 AM,Foster,4.0,1.0,2.0,,1,06/27/2016 10:06:00 AM,,,,,
113093,06/27/2016 11:05:00 AM,Leone,2.0,2.0,2.0,,1,06/27/2016 11:06:00 AM,,,,,
113101,06/28/2016 09:50:00 AM,63rd Street,59.0,89.0,72.5,,5,06/28/2016 09:55:00 AM,,,,,
113102,06/28/2016 10:00:00 AM,57th Street,146.0,158.0,151.9,,5,06/28/2016 10:05:00 AM,,,,,
113098,06/28/2016 09:05:00 AM,Calumet,265.0,177.0,216.6,,5,06/28/2016 09:10:00 AM,,,,,
113100,06/28/2016 09:35:00 AM,South Shore,144.0,142.0,143.0,,5,06/28/2016 09:40:00 AM,,,,,
113099,06/28/2016 09:20:00 AM,Rainbow,687.0,770.0,727.3,,5,06/28/2016 09:25:00 AM,,,,,
113117,06/28/2016 09:25:00 AM,Rogers,309.0,420.0,360.2,,1,06/28/2016 09:26:00 AM,,,,,
113110,06/28/2016 08:15:00 AM,Montrose,1120.0,2420.0,1646.3,,1,06/28/2016 08:16:00 AM,,,,,
113111,06/28/2016 08:25:00 AM,Foster,129.0,199.0,160.2,,1,06/28/2016 08:26:00 AM,,,,,
113106,06/28/2016 10:00:00 AM,Ohio Street,47.0,64.0,54.8,,1,06/28/2016 10:01:00 AM,,,,,
113103,06/28/2016 10:15:00 AM,Oakwood,19.0,19.0,19.0,,5,06/28/2016 10:20:00 AM,,,,,
113112,06/28/2016 08:40:00 AM,Osterman,185.0,249.0,214.6,,1,06/28/2016 08:41:00 AM,,,,,
113116,06/28/2016 09:30:00 AM,Howard,602.0,687.0,643.1,,1,06/28/2016 09:31:00 AM,,,,,
113107,06/28/2016 10:15:00 AM,Oak Street,2.0,4.0,2.8,,1,06/28/2016 10:16:00 AM,,,,,
113115,06/28/2016 09:15:00 AM,Fargo,397.0,388.0,392.5,,1,06/28/2016 09:16:00 AM,,,,,
113118,06/28/2016 09:20:00 AM,Juneway,157.0,613.0,310.2,,1,06/28/2016 09:21:00 AM,,,,,
113109,06/28/2016 08:10:00 AM,Montrose Dog,1732.0,1553.0,1640.1,,1,06/28/2016 08:11:00 AM,,,,,
113108,06/28/2016 10:30:00 AM,North Avenue,101.0,130.0,114.6,,1,06/28/2016 10:31:00 AM,,,,,
113105,06/28/2016 10:45:00 AM,12th Street,73.0,79.0,75.9,,5,06/28/2016 10:50:00 AM,,,,,
113114,06/28/2016 09:10:00 AM,Leone,168.0,135.0,150.6,,1,06/28/2016 09:11:00 AM,,,,,
113104,06/28/2016 10:35:00 AM,Margaret T Burroughs,214.0,195.0,204.3,,5,06/28/2016 10:40:00 AM,,,,,
113113,06/28/2016 09:00:00 AM,Hartigan,67.0,86.0,75.9,,1,06/28/2016 09:01:00 AM,,,,,
113126,06/29/2016 06:54:00 AM,12th Street,133.0,82.0,104.4,,1,06/29/2016 06:55:00 AM,1025,06/29/2016 11:48:00 AM,4.0,12.0,6.9
113120,06/29/2016 06:55:00 AM,Rainbow,29.0,21.0,24.7,,5,06/29/2016 07:00:00 AM,1003,06/29/2016 11:47:00 AM,68.0,79.0,73.3
113124,06/29/2016 07:55:00 AM,Oakwood,19.0,31.0,24.3,,5,06/29/2016 08:00:00 AM,,,,,
113129,06/29/2016 07:50:00 AM,North Avenue,18.0,10.0,13.4,,1,06/29/2016 07:51:00 AM,1022,06/29/2016 11:46:00 AM,6.0,41.0,15.7
113123,06/29/2016 07:45:00 AM,57th Street,16.0,15.0,15.5,,5,06/29/2016 07:50:00 AM,,,,,
113130,06/29/2016 08:56:00 AM,Montrose Dog,42.0,47.0,44.4,,1,06/29/2016 08:57:00 AM,,,,,
113133,06/29/2016 10:05:00 AM,Osterman,21.0,33.0,26.3,,1,06/29/2016 10:06:00 AM,,,,,
113122,06/29/2016 07:30:00 AM,63rd Street,36.0,33.0,34.5,,5,06/29/2016 07:35:00 AM,1004,06/29/2016 11:48:00 AM,103.0,91.0,96.8
113121,06/29/2016 07:15:00 AM,South Shore,34.0,23.0,28.0,,5,06/29/2016 07:20:00 AM,1024,06/29/2016 11:48:00 AM,41.0,88.0,60.1
113125,06/29/2016 06:40:00 AM,Margaret T Burroughs,88.0,93.0,90.5,,1,06/29/2016 06:41:00 AM,1002,06/29/2016 11:45:00 AM,174.0,142.0,157.2
113119,06/29/2016 06:35:00 AM,Calumet,37.0,36.0,36.5,,5,06/29/2016 06:40:00 AM,1001,06/29/2016 11:45:00 AM,41.0,95.0,62.4
113135,06/29/2016 10:30:00 AM,Leone,66.0,47.0,55.7,,1,06/29/2016 10:31:00 AM,,,,,
113134,06/29/2016 10:20:00 AM,Hartigan,26.0,31.0,28.4,,1,06/29/2016 10:21:00 AM,,,,,
113128,06/29/2016 07:35:00 AM,Oak Street,5.0,5.0,5.0,,1,06/29/2016 07:36:00 AM,,,,,
113131,06/29/2016 06:05:00 AM,Montrose,64.0,45.0,53.7,,1,06/29/2016 06:06:00 AM,1021,06/29/2016 11:46:00 AM,66.0,125.0,90.8
